fecha,total_accidentes,media_movil_4semanas
2025-01-05,493,
2025-01-12,816,
2025-01-19,1016,
2025-01-26,910,808.75
2025-02-02,884,906.5
2025-02-09,961,942.75
2025-02-16,856,902.75
2025-02-23,901,900.5
2025-03-02,1068,946.5
2025-03-09,1020,961.25
2025-03-16,969,989.5
2025-03-23,988,1011.25
2025-03-30,997,993.5
2025-04-06,1000,988.5
2025-04-13,979,991.0
2025-04-20,634,902.5
2025-04-27,1091,926.0
2025-05-04,808,878.0
2025-05-11,984,879.25
2025-05-18,900,945.75
2025-05-25,880,893.0
2025-06-01,1165,982.25
2025-06-08,1049,998.5
2025-06-15,1010,1026.0
2025-06-22,902,1031.5
2025-06-29,1054,1003.75
2025-07-06,1054,1005.0
2025-07-13,910,980.0
2025-07-20,860,969.5
2025-07-27,786,902.5
2025-08-03,509,766.25
